Country;Region;Year;Economy_status_Developed;Infant_deaths;Under_five_deaths;Alcohol_consumption;Hepatitis_B;Measles;Polio;Diphtheria;BMI;Incidents_HIV;GDP_per_capita;Population_mln;Thinness_ten_nineteen_years;Thinness_five_nine_years;Schooling;Life_expectancy;Hepatitis_B_alt;Measles_alt;Polio_alt;Diphtheria_alt
Bulgaria;European Union;2004;Yes;11.8;14.2;10.7;94;91;94;95;25.5;0.02;4850;7.72;2.3;2.3;10.1;72.6;alta;alta;alta;alta
Cambodia;Asia;2014;No;28.7;33.4;3.07;88;62;92;88;22;0.11;1105;15.27;1.9;11;4.7;68.3;elevada;moderada;alta;elevada
Nicaragua;Central America and Caribbean;2000;No;31.4;38.5;3.58;83;83;85;83;25.8;0.16;1445;5.07;2.2;2.1;5.1;69.5;elevada;elevada;elevada;elevada
Guyana;South America;2001;No;36.2;45.2;7.36;85;88;90;85;24.8;0.98;3947;0.75;5.9;5.7;7.8;65.5;elevada;elevada;alta;elevada
Ethiopia;Africa;2009;No;57;86.7;0.32;56;64;65;58;20.3;0.4;414;85.23;11.1;1.8;2.3;60.6;moderada;moderada;moderada;moderada
Turkmenistan;Asia;2010;No;37.2;43.1;2.9;96;99;96;96;25.8;0.08;4266;5.09;3.2;3.3;9.9;66.7;alta;alta;alta;alta
Lithuania;European Union;2007;Yes;6.5;8;13.79;96;96;95;95;26.2;0.07;11985;3.23;2.9;3;12.1;70.9;alta;alta;alta;alta
Russian Federation;Rest of Europe;2001;No;14.7;18.3;10.47;43;88;97;96;25.8;0.08;5619;145.98;2.8;3;11.4;65.4;baixa;elevada;alta;alta
Cabo Verde;Africa;2012;No;20.3;24;4.93;94;94;94;94;24.3;0.24;3085;0.51;7.1;7.1;5.4;71.4;alta;alta;alta;alta
Myanmar;Asia;2005;No;57.4;77.2;0.63;62;62;86;73;21.7;0.47;542;48.95;13.2;13.6;3.5;61.6;moderada;moderada;elevada;elevada
Portugal;European Union;2008;Yes;3.2;4;11.47;97;95;97;97;25.8;0.17;19986;10.56;0.7;0.5;7.8;78.5;alta;alta;alta;alta
Uruguay;South America;2011;No;8.9;10.3;6.02;95;93;95;95;26.8;0.23;14086;3.37;1.5;1.5;8.4;76.9;alta;alta;alta;alta
Ukraine;Rest of Europe;2014;No;8.4;9.8;7.58;22;57;45;23;26.5;0.24;2346;45.27;2.3;2.4;11.3;71.2;baixa;moderada;baixa;baixa
Ireland;European Union;2004;Yes;4.7;5.6;13.11;95;86;89;89;26.7;0.06;47731;4.07;0.3;0.2;11.6;78.5;alta;elevada;elevada;elevada
Denmark;European Union;2012;Yes;3.5;4.1;9.23;88;87;94;94;25.3;0.04;51567;5.59;1.1;0.9;12.8;80.1;elevada;elevada;alta;alta
Tanzania;Africa;2002;No;69.9;114;5.14;89;64;91;89;22.2;4.03;611;35.33;8;8;4.3;52.1;elevada;moderada;alta;elevada
Botswana;Africa;2001;No;44.6;80;5.5;87;83;97;97;23.7;17.96;4495;1.67;11.8;11.8;7.7;50.3;elevada;elevada;alta;alta
Sri Lanka;Asia;2006;No;11.6;13.5;1.96;98;98;98;98;22.1;0.02;2398;19.7;15.4;15.5;10.5;74.9;alta;alta;alta;alta
Malta;European Union;2013;Yes;5.8;6.6;7.32;94;88;99;99;27.1;0.08;22071;0.43;0.8;0.7;11;81.7;alta;elevada;alta;alta
Uzbekistan;Asia;2004;No;40.1;46.8;2.82;99;99;99;99;25.2;0.1;1476;25.86;3.2;3.2;9.7;68.1;alta;alta;alta;alta
Serbia;Rest of Europe;2011;No;6.4;7.4;8.55;94;90;94;94;25.8;0.02;5354;7.23;2.2;2.2;10.6;74.5;alta;alta;alta;alta
Finland;European Union;2009;Yes;2.6;3.2;9.96;88;92;99;99;26;0.08;42412;5.34;0.9;0.8;12.2;79.7;elevada;alta;alta;alta
Austria;European Union;2002;Yes;4.4;5.3;12.09;81;39;82;83;25.1;0.08;39636;8.08;1.7;1.9;9.4;78.7;elevada;baixa;elevada;elevada
Suriname;South America;2006;No;22.9;25.7;4.57;84;16;84;84;25.9;0.81;7896;0.51;3.5;3.4;7.7;69.2;elevada;baixa;elevada;elevada
Mali;Africa;2014;No;68.7;112.4;0.61;73;64;62;73;22.9;0.42;729;16.93;7.9;7.7;2.3;57;elevada;moderada;moderada;elevada
Croatia;European Union;2008;Yes;5.1;5.9;11.36;97;98;96;96;26.4;0.02;12790;4.31;1.7;1.7;10.3;75.9;alta;alta;alta;alta
Niger;Africa;2014;No;53.4;98;0.12;68;64;79;68;21.7;0.06;482;19.24;9.8;9.6;1.7;60.1;moderada;moderada;elevada;moderada
Kazakhstan;Asia;2000;No;36.7;42.5;5.81;99;98;96;97;25.6;0.02;4446;14.88;2.7;2.7;10.5;65.5;alta;alta;alta;alta
Croatia;European Union;2013;Yes;4.3;5.1;10.39;96;97;96;96;27;0.02;11537;4.26;1.5;1.5;11;77.1;alta;alta;alta;alta
Japan;Asia;2007;Yes;2.6;3.5;7.28;83;89;97;98;22.6;0.17;33990;128;1.8;1.5;11.3;82.5;elevada;elevada;alta;alta
India;Asia;2000;No;66.7;91.7;0.93;67;34;57;58;20.7;0.34;758;1056.58;27.7;28.6;4.4;62.5;moderada;baixa;moderada;moderada
Norway;Rest of Europe;2014;Yes;2.3;2.8;6.06;88;92;93;93;26.6;0.04;73650;5.14;0.8;0.7;12.5;82.1;elevada;alta;alta;alta
Togo;Africa;2009;No;59.8;91.7;1.16;78;64;78;78;23;1.28;468;6.25;7.5;7.4;4.3;56.8;elevada;moderada;elevada;elevada
Belize;Central America and Caribbean;2003;No;18.5;21.7;5.63;96;89;95;96;27.7;1.47;4736;0.27;3.6;3.6;10.2;69.5;alta;elevada;alta;alta
Vietnam;Asia;2008;No;18.8;23.5;1.78;87;65;93;93;20.8;0.19;1833;86.24;14.7;15.7;7;74.6;elevada;moderada;alta;alta
Ethiopia;Africa;2011;No;51.9;77.7;0.45;65;64;70;65;20.4;0.32;490;90.14;1.9;1.6;2.4;62.5;moderada;moderada;elevada;moderada
Cote d'Ivoire;Africa;2013;No;69.1;97;1.22;80;64;79;80;23.6;0.84;1769;22.09;5.8;5.7;4.7;54.9;elevada;moderada;elevada;elevada
Mali;Africa;2002;No;96.1;174.7;0.61;78;64;65;61;21.8;0.92;641;11.62;1.5;1.5;1.4;49.5;elevada;moderada;moderada;moderada
Turkiye;Middle East;2013;No;12.7;14.7;1.33;97;65;98;98;27.7;0.08;10226;75.93;4.9;4.7;7.7;75.8;alta;moderada;alta;alta
Netherlands;European Union;2009;Yes;3.8;4.6;9.12;88;93;97;97;25.5;0.06;44028;16.53;1;0.9;11.9;80.5;elevada;alta;alta;alta
Yemen Rep;Middle East;2008;No;48;62.4;0.038;78;95;78;78;23.1;0.03;2574;21.89;13.8;13.7;2.3;64.9;elevada;alta;elevada;elevada
Niger;Africa;2007;No;71.3;149;0.096;72;64;57;57;21.3;0.18;417;14.69;11.4;11.3;1.4;55;elevada;moderada;moderada;moderada
Papua New Guinea;Oceania;2005;No;49.6;64.9;0.8;63;65;61;72;24.6;0.56;1888;6.49;1.4;1.4;3.5;60.5;moderada;moderada;moderada;elevada
Chad;Africa;2009;No;85.8;151.7;0.67;24;64;32;24;21.6;0.67;659;11.56;9.6;9.5;1.8;50.3;baixa;moderada;baixa;baixa
Mauritius;Africa;2012;No;13;14.9;3.17;98;90;98;98;25.1;0.89;8384;1.26;7.1;7;8.6;73.9;alta;alta;alta;alta
North Macedonia;Rest of Europe;2002;No;12.8;14.3;4.67;69;97;97;96;25.8;0.08;3240;2.02;2.7;2.7;7.1;73;moderada;alta;alta;alta
Micronesia Fed Sts;Oceania;2005;No;28.6;34.7;1.9;91;65;94;94;29;0.17;3023;0.11;0.2;0.2;6;65.5;alta;moderada;alta;alta
Eritrea;Africa;2003;No;49.6;73.8;0.62;91;88;95;93;20.3;0.47;796;2.6;9.7;9.7;3.7;57.2;alta;elevada;alta;alta
Zimbabwe;Africa;2015;No;42.1;61.3;3.84;87;64;88;87;23.8;3.86;1445;13.81;5.6;5.5;8.2;59.5;elevada;moderada;elevada;elevada
Italy;European Union;2002;Yes;4.3;5;9.25;95;84;96;93;25.5;0.09;32998;57.06;0.5;0.5;8.8;80.2;alta;elevada;alta;alta
United Kingdom;Rest of Europe;2012;Yes;4.1;4.8;9.53;88;86;95;95;27;0.08;43100;63.7;0.8;0.5;12.9;80.9;elevada;elevada;alta;alta
Lesotho;Africa;2011;No;69;93.9;2.38;96;82;95;96;24.7;11.51;1037;2;6.8;6.6;5.8;46.2;alta;elevada;alta;alta
United States;North America;2007;Yes;6.6;7.7;8.74;93;86;93;96;28.3;0.13;54300;301.23;0.7;0.6;12.9;78;alta;elevada;alta;alta
Solomon Islands;Oceania;2008;No;23.3;27.8;1.07;89;65;88;89;25.6;0.17;1976;0.5;1.2;1.2;5;70.1;elevada;moderada;elevada;elevada
Nigeria;Africa;2014;No;80.1;127.9;4.45;49;64;40;49;23.2;0.58;2688;176.4;1.1;9.9;5.9;52.7;baixa;moderada;baixa;baixa
Bulgaria;European Union;2013;Yes;7.8;9.3;10.32;95;94;95;95;26.2;0.03;6693;7.27;1.9;1.9;10.9;74.9;alta;alta;alta;alta
Poland;European Union;2000;Yes;8.1;9.3;8.4;99;96;98;98;25.4;0.08;7357;38.26;2.5;2.8;11.1;73.7;alta;alta;alta;alta
Zimbabwe;Africa;2012;No;46.5;72.2;3.93;97;64;95;95;23.7;5.13;1432;13.12;6.5;6.4;7.9;55;alta;moderada;alta;alta
Iceland;Rest of Europe;2004;Yes;2.7;3.4;6.71;88;89;99;99;25.7;0.03;46766;0.29;1;0.9;9.9;81;elevada;elevada;alta;alta
Malta;European Union;2015;Yes;5.7;6.6;7.37;95;91;97;97;27.1;0.08;24922;0.45;0.8;0.8;11.2;81.9;alta;alta;alta;alta
Georgia;Rest of Europe;2002;No;27.7;31.5;2.74;51;40;89;84;26;0.03;1775;3.98;2.9;3;11.9;70.2;moderada;baixa;elevada;elevada
Ethiopia;Africa;2003;No;76.7;121.8;0.14;52;64;54;37;20;0.83;259;72.17;11.6;11.5;1.7;54.2;moderada;moderada;moderada;baixa
Belgium;European Union;2013;Yes;3.4;4.2;10.33;98;85;99;99;26;0.08;39970;11.16;1;0.9;11.4;80.6;alta;elevada;alta;alta
New Zealand;Oceania;2008;Yes;5.2;6.3;9.48;90;86;89;89;27.5;0.04;35655;4.26;0.3;0.3;11.8;80.4;alta;elevada;elevada;elevada
Sierra Leone;Africa;2013;No;97.7;141.2;3.12;92;60;92;92;22.6;0.95;740;6.86;7.7;7.6;3.3;51.7;alta;moderada;alta;alta
Singapore;Asia;2003;No;2.5;3.2;1.43;95;96;96;96;23.5;0.15;36710;4.11;2.1;2;9.8;79;alta;alta;alta;alta
Slovak Republic;European Union;2007;Yes;6.4;7.7;10.96;99;97;99;99;25.8;0.01;13734;5.37;1.3;1.4;11.1;74.2;alta;alta;alta;alta
Nepal;Asia;2002;No;53.1;70.4;0.19;46;65;72;72;20.9;0.17;570;24.73;18.2;18.8;2.5;63.6;baixa;moderada;elevada;elevada
Tonga;Oceania;2012;No;11;12.8;0.22;77;95;95;77;31.9;0.17;4108;0.1;0.1;0.1;10.9;70.2;elevada;alta;alta;elevada
Bahamas;Central America and Caribbean;2012;No;12.8;14.9;9.37;96;83;99;98;27.7;0.39;32652;0.36;2.5;2.5;11.1;72.4;alta;elevada;alta;alta
Kenya;Africa;2015;No;35.2;48.9;1.65;89;28;83;89;23.3;1.15;1465;47.88;7.8;7.6;6.3;64.8;elevada;baixa;elevada;elevada
Cameroon;Africa;2008;No;72.7;117.6;5.5;84;64;82;84;23.8;2.27;1249;19.25;6.4;6.5;5.2;54.2;elevada;moderada;elevada;elevada
Timor-Leste;Oceania;2006;No;62.1;76.1;0.039;75;64;62;63;20.3;0.06;862;1.02;11.9;11.9;3.4;64.8;elevada;moderada;moderada;moderada
Canada;North America;2003;Yes;5.3;6.2;7.7;14;84;88;91;26.5;0.1;36024;31.64;0.5;0.4;11.7;79.7;baixa;elevada;elevada;alta
Lithuania;European Union;2011;Yes;4.5;5.5;14.76;95;94;92;92;26.3;0.09;12047;3.03;2.7;2.8;11.8;73.6;alta;alta;alta;alta
Armenia;Rest of Europe;2004;No;22.2;25;3.73;91;94;93;91;25.8;0.08;2062;3;2;2.1;10.8;72.5;alta;alta;alta;alta
Bangladesh;Asia;2014;No;32.5;40.1;0.01;97;89;97;97;21.5;0.01;1185;154.52;18.1;18.6;5.2;71.2;alta;elevada;alta;alta
Germany;European Union;2006;Yes;3.8;4.6;11.76;87;90;94;96;26.1;0.08;36699;82.38;1.1;1.1;13.6;79.1;elevada;alta;alta;alta
Papua New Guinea;Oceania;2012;No;43;55.2;0.94;68;65;65;74;25.2;0.38;2266;7.63;1.3;1.3;4.2;62.6;moderada;moderada;moderada;elevada
Tonga;Oceania;2005;No;12.7;14.7;1.89;89;98;99;89;31.6;0.17;3875;0.1;0.1;0.1;9.2;69.8;elevada;alta;alta;elevada
Cambodia;Asia;2012;No;32.3;37.7;2.52;86;41;90;86;21.8;0.12;993;14.78;11;11.2;4.5;67.5;elevada;baixa;alta;elevada
Gambia;Africa;2005;No;53.1;91.5;3.31;95;64;94;95;22.7;1.44;711;1.54;9.2;9.1;2.4;57.9;alta;moderada;alta;alta
Bosnia and Herzegovina;Rest of Europe;2009;No;6.6;7.5;4.69;90;88;90;90;25.3;0.08;4028;3.74;2.7;2.7;7.7;75.8;alta;elevada;alta;alta
Djibouti;Africa;2010;No;62.5;76.6;0.48;88;82;88;88;23.9;0.43;1343;0.84;5.6;5.6;4;60.1;elevada;elevada;elevada;elevada
Ukraine;Rest of Europe;2006;No;12;14;7.42;96;98;99;98;26.1;0.35;2322;46.79;2.6;2.7;11.2;68.1;alta;alta;alta;alta
Eswatini;Africa;2001;No;69;115.8;6.7;86;99;87;84;25.6;20.8;2477;1.01;9;9.2;3.7;45.8;elevada;alta;elevada;elevada
Mongolia;Asia;2014;No;17.4;20.4;9.88;99;98;99;99;26;0.02;3860;2.94;2.2;2.3;10.1;68.9;alta;alta;alta;alta
Canada;North America;2004;Yes;5.3;6.1;7.8;14;84;91;91;26.6;0.1;37086;31.94;0.5;0.4;12;79.9;baixa;elevada;alta;alta
Costa Rica;Central America and Caribbean;2005;No;9.9;11.3;4.11;90;86;91;91;26.3;0.15;8606;4.29;2;2;7.9;78.1;alta;elevada;alta;alta
Vietnam;Asia;2001;No;22.6;28.5;0.76;87;65;96;96;20;0.25;1230;80.74;15.7;16.4;5.6;73.2;elevada;moderada;alta;alta
Slovenia;European Union;2013;Yes;2.3;2.8;9.53;88;95;95;95;26.3;0.02;19922;2.06;1.4;1.4;11.7;80.3;elevada;alta;alta;alta
Poland;European Union;2011;Yes;4.9;5.7;10.24;98;95;96;99;26.2;0.08;11369;38.06;2;2.2;12.3;76.7;alta;alta;alta;alta
Mozambique;Africa;2001;No;106.1;161;0.65;76;64;72;73;21.7;3.5;321;18.22;4.1;4;2.4;49.3;elevada;moderada;elevada;elevada
Philippines;Asia;2004;No;26.9;34.9;4.42;48;18;85;88;22.4;0.01;2018;84.71;1;9.7;8.6;69;baixa;baixa;elevada;elevada
New Zealand;Oceania;2002;Yes;5.8;7;9.09;89;86;84;90;26.9;0.03;32657;3.95;0.3;0.3;11.6;78.8;elevada;elevada;elevada;alta
Chad;Africa;2000;No;99.7;184;0.3;27;64;30;36;20.9;1.39;375;8.36;11.5;11.4;1.4;47.7;baixa;moderada;baixa;baixa
Sao Tome and Principe;Central America and Caribbean;2009;No;29.7;39.3;4.34;98;71;99;98;24.4;0.36;1348;0.18;6.3;6.2;4.8;66.9;alta;elevada;alta;alta
Australia;Oceania;2002;Yes;5;6;9.84;95;85;92;92;26.4;0.04;47127;19.65;0.7;0.7;11.8;79.9;alta;elevada;alta;alta
Montenegro;Rest of Europe;2015;No;3.3;4;8.49;82;94;89;89;26.5;0.03;6517;0.62;1.8;1.8;11.3;76.4;elevada;alta;elevada;elevada
Cambodia;Asia;2003;No;61.8;78;0.84;84;48;69;69;20.9;0.45;575;12.86;11.6;11.7;3.4;61.2;elevada;baixa;moderada;moderada
Gabon;Africa;2004;No;49;75.8;8.02;70;64;44;45;24.2;2.84;7507;1.35;7.4;7.2;6.8;57.9;elevada;moderada;baixa;baixa
Singapore;Asia;2006;No;2.3;2.9;1.55;95;96;95;95;23.5;0.14;44160;4.4;2.1;2;10.1;80.1;alta;alta;alta;alta
Fiji;Oceania;2012;No;20;23.5;2.43;99;94;99;99;27.3;0.11;4683;0.87;4;3.7;10.1;66.9;alta;alta;alta;alta
Greece;European Union;2015;Yes;3.8;4.4;6.68;96;83;99;99;27.1;0.06;18084;10.82;0.8;0.7;10.6;81;alta;elevada;alta;alta
Mongolia;Asia;2001;No;45.3;58.5;2.18;95;95;95;95;24.4;0.01;1624;2.42;2.5;2.6;8.3;63.3;alta;alta;alta;alta
Vietnam;Asia;2003;No;21;26.4;0.93;78;65;96;99;20.2;0.26;1372;82.3;15.6;16.2;6;73.7;elevada;moderada;alta;alta
Bosnia and Herzegovina;Rest of Europe;2004;No;7.9;9.1;4.38;92;88;87;84;25;0.08;3371;3.76;3;3;7.3;75.1;alta;elevada;elevada;elevada
Barbados;Central America and Caribbean;2004;No;14.4;15.7;7.43;93;99;93;93;26.8;0.57;16369;0.28;4.1;4;9.2;77.8;alta;alta;alta;alta
Lao PDR;Asia;2006;No;61.1;82.9;3.71;57;65;56;57;21.7;0.16;1253;5.85;9.9;9.9;4.3;62.2;moderada;moderada;moderada;moderada
Brunei Darussalam;Asia;2007;No;7.7;9.5;0.83;97;92;95;99;26;0.1;35065;0.37;6.2;5.7;8.6;74.4;alta;alta;alta;alta
Malta;European Union;2010;Yes;5.8;6.7;6.99;75;85;76;76;27.1;0.08;20558;0.41;0.8;0.7;10.3;81.4;elevada;elevada;elevada;elevada
Honduras;Central America and Caribbean;2004;No;25.5;30.6;2.83;93;83;94;94;25.3;0.22;1913;7.28;2.6;2.5;4.6;71.8;alta;elevada;alta;alta
Switzerland;Rest of Europe;2012;Yes;3.8;4.4;9.87;88;86;96;96;25.1;0.06;82800;8;0.5;0.3;13.4;82.7;elevada;elevada;alta;alta
Tajikistan;Asia;2004;No;50.4;60.1;0.7;81;98;82;86;24.5;0.03;602;6.66;3.9;3.9;10.5;65.3;elevada;alta;elevada;elevada
Bangladesh;Asia;2013;No;34;42.2;0;96;82;96;96;21.4;0.01;1130;152.76;18.3;18.8;5.1;70.9;alta;elevada;alta;alta
Philippines;Asia;2005;No;26.4;34.2;4.19;49;19;90;89;22.5;0.01;2078;86.33;1;9.7;8.7;69.1;baixa;baixa;alta;elevada
Kyrgyz Republic;Asia;2014;No;20.9;23.5;6.18;96;65;95;96;26.4;0.13;1102;5.84;3.3;3.4;10.8;70.4;alta;moderada;alta;alta
Lebanon;Middle East;2001;No;16;18.7;2.32;80;42;80;80;26.4;0.02;6712;3.99;4.9;4.7;7.5;75;elevada;baixa;elevada;elevada
North Macedonia;Rest of Europe;2014;No;9.9;11.2;3.56;97;97;96;95;26.6;0.08;4687;2.07;2.2;2.2;9.5;75.5;alta;alta;alta;alta
Botswana;Africa;2005;No;38.9;67;6.38;92;83;96;96;23.9;11.63;4986;1.8;1;9.9;8.3;52.1;alta;elevada;alta;alta
Russian Federation;Rest of Europe;2010;No;8.3;10.4;10.82;97;98;98;97;26.1;0.08;8755;142.85;2.3;2.5;11.5;68.8;alta;alta;alta;alta
Uruguay;South America;2005;No;12.5;14.4;6.26;96;92;96;96;26.3;0.19;10170;3.32;1.6;1.6;8;75.8;alta;alta;alta;alta
Slovak Republic;European Union;2002;Yes;7.6;9.1;11.16;99;97;98;99;25.6;0.01;9641;5.38;1.5;1.6;10.3;73.6;alta;alta;alta;alta
New Zealand;Oceania;2007;Yes;5.3;6.4;9.2;88;86;88;88;27.4;0.04;36363;4.22;0.3;0.3;11.8;80.2;elevada;elevada;elevada;elevada
North Macedonia;Rest of Europe;2010;No;9.2;10.4;3.53;90;97;95;95;26.3;0.08;4340;2.06;2.3;2.3;9.1;75;alta;alta;alta;alta
Jamaica;Central America and Caribbean;2011;No;15.1;17.5;2.99;92;60;93;92;27.1;0.57;4946;2.83;1.8;1.7;9;74;alta;moderada;alta;alta
Bolivia;South America;2015;No;25.4;31.3;3.15;99;83;99;99;26.4;0.15;3036;10.87;1.2;1.1;8.7;70.3;alta;elevada;alta;alta
Myanmar;Asia;2010;No;48.8;63.7;0.97;92;75;90;90;22.1;0.34;903;50.6;13.1;13.3;4.1;63.5;alta;elevada;alta;alta
Slovak Republic;European Union;2005;Yes;6.8;8.2;11.06;99;97;99;99;25.7;0.01;11426;5.37;1.4;1.5;10.8;73.9;alta;alta;alta;alta
Azerbaijan;Asia;2013;No;26.7;30.3;0.52;93;98;96;93;26.7;0.06;5426;9.42;2.8;2.8;10.8;71.8;alta;alta;alta;alta
Papua New Guinea;Oceania;2002;No;52.1;68.8;0.58;60;65;54;61;24.3;0.64;1801;6.1;1.5;1.5;3.4;59.7;moderada;moderada;moderada;moderada
Tonga;Oceania;2010;No;11.3;13.2;1.24;82;98;99;82;31.8;0.17;3769;0.1;0.1;0.1;10.7;70.1;elevada;alta;alta;elevada
El Salvador;Central America and Caribbean;2001;No;26;31.3;2.76;75;79;94;92;26.1;0.39;2999;5.93;2.1;2;5.3;69.2;elevada;elevada;alta;alta
Ireland;European Union;2015;Yes;3.2;3.7;10.81;95;86;95;95;27.4;0.07;62012;4.7;0.3;0.2;12.3;81.5;alta;elevada;alta;alta
Canada;North America;2005;Yes;5.2;6.1;8;14;85;93;93;26.6;0.1;38573;32.24;0.5;0.4;12.2;80.2;baixa;elevada;alta;alta
Mongolia;Asia;2000;No;48.6;63.5;2.15;93;75;94;94;24.3;0.01;1592;2.4;2.6;2.6;8.2;62.9;alta;elevada;alta;alta
Croatia;European Union;2014;Yes;4.3;5;9.5;95;97;95;95;27.1;0.02;11544;4.24;1.5;1.5;11.1;77.5;alta;alta;alta;alta
Venezuela;South America;2002;No;17.4;20.3;6.99;60;83;81;65;26.3;0.4;3701;25.1;1.7;1.7;6.8;72.5;moderada;elevada;elevada;moderada
Switzerland;Rest of Europe;2009;Yes;4;4.6;10.15;88;83;96;95;25.1;0.06;80262;7.74;0.5;0.4;13.3;82;elevada;elevada;alta;alta
Burkina Faso;Africa;2005;No;80.8;153.1;5.87;86;31;94;82;21.4;0.58;518;13.42;1.3;9.8;1.3;53.3;elevada;baixa;alta;elevada
Lesotho;Africa;2013;No;71;92.6;2.55;93;82;90;93;24.8;11.55;1109;2.03;6.1;5.9;6;48.7;alta;elevada;alta;alta
Colombia;South America;2012;No;14.7;17.1;4.37;92;80;91;91;25.9;0.21;5631;46.08;2.1;1.9;7.6;75.9;alta;elevada;alta;alta
Morocco;Africa;2009;No;28.4;33;0.53;98;72;99;99;25.3;0.05;2473;31.93;6.4;6.2;4.2;74;alta;elevada;alta;alta
Austria;European Union;2000;Yes;4.6;5.5;13.35;33;35;71;81;25;0.08;38843;8.01;1.7;1.9;9;78.1;baixa;baixa;elevada;elevada
Chile;South America;2011;No;7.3;8.5;7.02;94;77;93;94;27.5;0.18;12339;17.23;0.8;0.8;9.8;79;alta;elevada;alta;alta
Niger;Africa;2008;No;67.9;139.3;0.11;72;64;68;67;21.4;0.14;432;15.25;11.2;11;1.4;55.8;elevada;moderada;moderada;moderada
El Salvador;Central America and Caribbean;2006;No;20.2;23.8;2.67;96;89;96;96;26.7;0.28;3262;6.08;1.8;1.7;6.4;70.3;alta;elevada;alta;alta
France;European Union;2004;Yes;3.4;4.8;13.14;35;65;99;98;25;0.11;34900;62.7;0.6;0.6;10.3;80.2;baixa;moderada;alta;alta
Nicaragua;Central America and Caribbean;2001;No;29.9;36.5;3.48;87;83;89;87;25.9;0.14;1466;5.15;2.2;2.1;5.2;69.9;elevada;elevada;elevada;elevada
Dominican Republic;Central America and Caribbean;2007;No;29.3;35.7;5.92;81;83;86;85;25.6;0.65;5309;9.34;3.4;3.4;7.2;71.3;elevada;elevada;elevada;elevada
North Macedonia;Rest of Europe;2008;No;10.3;11.7;4.02;97;97;96;95;26.1;0.08;4231;2.05;2.4;2.4;8.7;74.4;alta;alta;alta;alta
Kuwait;Middle East;2012;No;8.2;9.6;0;98;99;98;98;29.2;0.13;33455;3.35;3.4;3.3;7.2;74.7;alta;alta;alta;alta
Samoa;Oceania;2006;No;16.5;19.3;3.52;35;47;49;39;31.1;0.17;3955;0.18;0.2;0.2;9.5;70.6;baixa;baixa;baixa;baixa
United Arab Emirates;Middle East;2004;No;8.6;10.1;1.59;92;92;94;94;27.5;0.13;57910;4.07;5.2;4.9;8.9;75.2;alta;alta;alta;alta
Uzbekistan;Asia;2007;No;32.2;37;1.75;99;44;98;96;25.6;0.14;1787;26.87;3.1;3.1;10.1;68.9;alta;baixa;alta;alta
Croatia;European Union;2015;Yes;4.2;4.9;9.64;94;96;94;94;27.3;0.02;11933;4.2;1.5;1.4;11.2;77.3;alta;alta;alta;alta
Malta;European Union;2009;Yes;5.9;6.7;7.1;86;85;73;73;27.1;0.08;19574;0.41;0.8;0.7;10.2;80.2;elevada;elevada;elevada;elevada
Estonia;European Union;2014;Yes;2.6;3.3;17.29;93;93;93;93;26.3;0.08;17097;1.31;1.9;1.9;12.6;77;alta;alta;alta;alta
Bahamas;Central America and Caribbean;2006;No;14.3;16.7;9.82;96;83;94;95;27.2;0.59;35863;0.33;2.5;2.5;10.9;72;alta;elevada;alta;alta
Botswana;Africa;2000;No;45.2;80.5;5.38;86;83;97;97;23.6;19.66;4569;1.64;12.3;12.2;7.6;50.6;elevada;elevada;alta;alta
Sri Lanka;Asia;2007;No;11;12.8;2.29;98;97;98;98;22.2;0.02;2543;19.84;15.4;15.5;10.6;75;alta;alta;alta;alta
Netherlands;European Union;2006;Yes;4.3;5.1;9.58;88;92;96;96;25.4;0.06;43592;16.35;1;1;11.8;79.7;elevada;alta;alta;alta
Sri Lanka;Asia;2010;No;9.8;11.4;2.31;99;99;99;99;22.5;0.01;2950;20.26;15.3;15.3;10.8;75.4;alta;alta;alta;alta
Tonga;Oceania;2009;No;11.5;13.4;1.08;84;98;99;84;31.8;0.17;3742;0.1;0.1;0.1;10.4;70;elevada;alta;alta;elevada
Malaysia;Asia;2008;No;6.9;8.1;0.5;97;93;97;97;24.8;0.18;8074;27.24;8.5;8.3;9.4;74.1;alta;alta;alta;alta
Nicaragua;Central America and Caribbean;2004;No;26;31.3;3.75;79;83;80;79;26.2;0.13;1529;5.36;2.1;2;5.4;70.9;elevada;elevada;elevada;elevada
Armenia;Rest of Europe;2003;No;23.3;26.3;3;93;93;96;94;25.8;0.08;1856;3.02;2;2.1;10.8;72.3;alta;alta;alta;alta
St Vincent and the Grenadines;Central America and Caribbean;2006;No;18.8;21.3;6.22;99;83;99;99;26.1;0.4;6918;0.11;3.7;3.6;8;71.4;alta;elevada;alta;alta
Eritrea;Africa;2001;No;53.8;81.1;0.67;87;88;89;86;20.2;0.59;870;2.37;1;1;3.7;55.9;elevada;elevada;elevada;elevada
Bangladesh;Asia;2006;No;47;61;0.003;86;62;95;94;20.7;0.01;809;140.92;19.7;2.3;4.6;68.2;elevada;moderada;alta;alta
Malawi;Africa;2014;No;39.2;57.6;2.01;91;64;87;91;22.8;2.95;381;16.29;6.5;6.3;4.4;61;alta;moderada;elevada;alta
Kyrgyz Republic;Asia;2015;No;19.9;22.3;5.37;97;65;97;97;26.5;0.12;1121;5.96;3.3;3.4;10.8;70.7;alta;moderada;alta;alta
Nigeria;Africa;2013;No;81;129.4;4.45;46;64;41;46;23.1;0.62;2597;171.77;1.4;1.2;5.9;52.2;baixa;moderada;baixa;baixa
